_id,ISIC_id,exemplar,group,benign_malignant,diagnosis
5bf31fd31165972a676ac44a,ISIC_0046222,Pattern : Starburst,1,benign,nevus
5bf31fd31165972a676ac463,ISIC_0046224,Lines : Branched streaks,1,malignant,melanoma
5bf31fd71165972a676ac533,ISIC_0046240,Vessels : Linear irregular,1,benign,nevus
5bf31fe41165972a676ac80c,ISIC_0046294,Network : Delicate Pigment Network / Reticulation,1,benign,nevus
5bf31fec1165972a676ac91b,ISIC_0046316,Structureless : Blotch regular,1,benign,nevus
5bf31ffa1165972a676aca41,ISIC_0046338,Network : Negative pigment network,1,malignant,melanoma
5bf320041165972a676acb78,ISIC_0046355,Globules / Clods : Cobblestone pattern,1,benign,nevus
5bf320141165972a676acce5,ISIC_0046383,Regression structures : Peppering / Granularity,1,malignant,melanoma
5bf320261165972a676ace90,ISIC_0046416,Regression structures : Scarlike depigmentation,1,malignant,melanoma
5bf3202d1165972a676acf23,ISIC_0046428,Globules / Clods : Regular,1,benign,nevus
5bf3202d1165972a676acf2e,ISIC_0046429,Pattern : Homogeneous : NOS,1,benign,nevus
5bf320311165972a676acf97,ISIC_0046438,Regression structures : Scarlike depigmentation,1,malignant,melanoma
5bf3203d1165972a676ad22e,ISIC_0046493,Lines : Radial streaming,1,benign,nevus
5bf320441165972a676ad3d5,ISIC_0046529,Globules / Clods : Regular,1,malignant,melanoma
5bf320491165972a676ad491,ISIC_0046546,Pattern : Homogeneous : NOS,1,benign,nevus
5bf320501165972a676ad645,ISIC_0046582,Vessels : Dotted,1,benign,nevus
5bf320551165972a676ad6ee,ISIC_0046597,Structureless : Structureless brown (tan),1,malignant,melanoma
5bf320571165972a676ad77d,ISIC_0046609,Shiny white structures : Shiny white streaks,1,malignant,melanoma
5bf320571165972a676ad7ad,ISIC_0046613,Network : Typical pigment network / Reticulation,1,benign,nevus
5bf320581165972a676ad7c3,ISIC_0046615,Lines : Pseudopods,1,benign,nevus
5bf320591165972a676ad81e,ISIC_0046623,Structureless : Blotch irregular,1,malignant,melanoma
5bf3205b1165972a676ad87a,ISIC_0046631,Lines : Radial streaming,1,benign,nevus
5bf3205b1165972a676ad891,ISIC_0046633,Globules / Clods : Irregular,1,malignant,melanoma
5bf3205b1165972a676ad8aa,ISIC_0046635,Pattern : Starburst,1,benign,nevus
5bf3205d1165972a676ad8f6,ISIC_0046641,Shiny white structures : Shiny white streaks,1,malignant,melanoma
5bf3205d1165972a676ad928,ISIC_0046645,Globules / Clods : Irregular,1,malignant,melanoma
5bf320601165972a676ad9d5,ISIC_0046659,Dots : Irregular,1,malignant,melanoma
5bf320621165972a676ad9f8,ISIC_0046661,Vessels : Corkscrew,1,malignant,melanoma
5bf320621165972a676ada19,ISIC_0046664,Globules / Clods : Milky red,1,malignant,melanoma
5bf320641165972a676ada6a,ISIC_0046671,Vessels : Polymorphous,1,malignant,melanoma
5bf320651165972a676ada8b,ISIC_0046674,Lines : Branched streaks,1,benign,nevus
5bf320671165972a676adaee,ISIC_0046683,Network : Negative pigment network,1,malignant,melanoma
5bf3206d1165972a676adbb0,ISIC_0046700,Vessels : Comma,1,benign,nevus
5bf3207e1165972a676adda7,ISIC_0046745,Network : Typical pigment network / Reticulation,1,benign,nevus
5bf320901165972a676ae135,ISIC_0046820,Dots : Irregular,1,malignant,melanoma
5bf320931165972a676ae199,ISIC_0046827,Structureless : Milky red areas,1,malignant,melanoma
5bf320961165972a676ae1f3,ISIC_0046834,Vessels : Corkscrew,1,malignant,melanoma
5bf3209c1165972a676ae2c2,ISIC_0046851,Globules / Clods : Rim of brown globules,1,benign,nevus
5bf3209c1165972a676ae2ce,ISIC_0046852,Globules / Clods : Rim of brown globules,1,benign,nevus
5bf320af1165972a676ae48d,ISIC_0046884,Structureless : Blue-whitish veil,1,malignant,melanoma
